bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;issueId;note
0d33e877b1642b1bb630415304b8d01de2ce427e;2017-10-17T05:32:13+0900;src/test/java/org/apache/bcel/PLSETestCase.java;;;BCEL-295;No changed lines, only additions
df7a37858bdf7c465d6ba96637558695e42e2fe9;2017-09-13T01:36:55+0900;src/changes/changes.xml;;;BCEL-286;No changed lines, only additions
df7a37858bdf7c465d6ba96637558695e42e2fe9;2017-09-13T01:36:55+0900;src/main/java/org/apache/bcel/classfile/Utility.java;4ad705443258be2483cde74ca49033a9a2b93924;2015-08-24T07:28:37+0900;BCEL-286;
df7a37858bdf7c465d6ba96637558695e42e2fe9;2017-09-13T01:36:55+0900;src/test/java/org/apache/bcel/classfile/UtilityTestCase.java;294b5827154e60ccde947a7c850a98104d670041;2015-08-21T06:36:33+0900;BCEL-286;
54a95d899854ad5a0a7b896f99cd8ba68b89d471;2017-08-31T04:34:23+0900;src/changes/changes.xml;;;BCEL-276;
54a95d899854ad5a0a7b896f99cd8ba68b89d471;2017-08-31T04:34:23+0900;src/main/java/org/apache/bcel/classfile/LocalVariable.java;;;BCEL-276;No changed lines, only additions
54a95d899854ad5a0a7b896f99cd8ba68b89d471;2017-08-31T04:34:23+0900;src/main/java/org/apache/bcel/generic/LocalVariableGen.java;f3f9e9b02c101973da0ed1a51e5dd60b83e5bc65;2015-08-10T06:21:10+0900;BCEL-276;
54a95d899854ad5a0a7b896f99cd8ba68b89d471;2017-08-31T04:34:23+0900;src/main/java/org/apache/bcel/generic/MethodGen.java;d47fec240c633b061a3ae9351f8199e8785261b4;2016-06-01T13:25:27+0900;BCEL-276;
93c12bbb6d22a165a407b6184cdb40545f86c683;2017-08-31T04:28:20+0900;src/changes/changes.xml;;;BCEL-287;No changed lines, only additions
93c12bbb6d22a165a407b6184cdb40545f86c683;2017-08-31T04:28:20+0900;src/main/java/org/apache/bcel/generic/IINC.java;d522432b79044740831a132d8b92e7dab5477444;2016-06-08T02:28:43+0900;BCEL-287;
efc4809b7b73febc18cdd8976ff8e9d6d4537ade;2017-08-31T04:22:35+0900;src/changes/changes.xml;;;BCEL-283;No changed lines, only additions
efc4809b7b73febc18cdd8976ff8e9d6d4537ade;2017-08-31T04:22:35+0900;src/main/java/org/apache/bcel/classfile/Attribute.java;f3f9e9b02c101973da0ed1a51e5dd60b83e5bc65;2015-08-10T06:21:10+0900;BCEL-283;
5df07263f9fd644e8045569b82fce08b50c008a2;2017-05-19T15:42:30+0900;src/changes/changes.xml;;;BCEL-289;No changed lines, only additions
e74df2c0e90e5e4ee92a0d45fcc6f5db5958861a;2017-05-19T15:41:16+0900;src/main/java/org/apache/bcel/generic/MethodGen.java;7a28a2d05733714850bd7e51a98fc97c42e47103;2016-06-22T05:50:19+0900;BCEL-289;
e74df2c0e90e5e4ee92a0d45fcc6f5db5958861a;2017-05-19T15:41:16+0900;src/test/java/org/apache/bcel/generic/MethodGenTestCase.java;;;BCEL-289;No changed lines, only additions
c96a3e5a40040ef43e0a51935a368458763d3424;2016-09-06T15:38:18+0900;src/changes/changes.xml;;;BCEL-276;No changed lines, only additions
c96a3e5a40040ef43e0a51935a368458763d3424;2016-09-06T15:38:18+0900;src/main/java/org/apache/bcel/generic/MethodGen.java;;;BCEL-276;No changed lines, only additions
c96a3e5a40040ef43e0a51935a368458763d3424;2016-09-06T15:38:18+0900;src/test/java/org/apache/bcel/LocalVariableTypeTableTestCase.java;;;BCEL-276;No changed lines, only additions
c96a3e5a40040ef43e0a51935a368458763d3424;2016-09-06T15:38:18+0900;src/test/java/org/apache/bcel/data/SimpleClassHasMethodIncludeGenericArgument.java;;;BCEL-276;No changed lines, only additions
7ceb5a6b8236517d708d7965f4873344c5630969;2016-07-29T17:10:05+0900;src/changes/changes.xml;;;BCEL-277;No changed lines, only additions
7ceb5a6b8236517d708d7965f4873344c5630969;2016-07-29T17:10:05+0900;src/main/java/org/apache/bcel/classfile/ConstantPool.java;f3f9e9b02c101973da0ed1a51e5dd60b83e5bc65;2015-08-10T06:21:10+0900;BCEL-277;
7ceb5a6b8236517d708d7965f4873344c5630969;2016-07-29T17:10:05+0900;src/test/java/org/apache/bcel/classfile/ConstantPoolTestCase.java;;;BCEL-277;No changed lines, only additions
7ceb5a6b8236517d708d7965f4873344c5630969;2016-07-29T17:10:05+0900;src/test/java/org/apache/bcel/data/SimpleClassWithDefaultConstructor.java;;;BCEL-277;No changed lines, only additions
cc1c0fbf13f7757a8fbc696653aced5f8cfd4005;2016-06-18T22:57:51+0900;RELEASE-NOTES.txt;;;BCEL-237;Ignored file type
cc1c0fbf13f7757a8fbc696653aced5f8cfd4005;2016-06-18T22:57:51+0900;src/changes/changes.xml;;;BCEL-237;No changed lines, only additions
2f2698fa5739eba1cdc3bdf8299a754fb98ae871;2016-06-15T02:02:22+0900;src/changes/changes.xml;;;BCEL-243;No changed lines, only additions
2f2698fa5739eba1cdc3bdf8299a754fb98ae871;2016-06-15T02:02:22+0900;src/main/java/org/apache/bcel/generic/Type.java;f3f9e9b02c101973da0ed1a51e5dd60b83e5bc65;2015-08-10T06:21:10+0900;BCEL-243;
2f2698fa5739eba1cdc3bdf8299a754fb98ae871;2016-06-15T02:02:22+0900;src/test/java/org/apache/bcel/generic/TypeTestCase.java;;;BCEL-243;No changed lines, only additions
4b46a1595c4c8688644549b3cd762819f4ccfac0;2016-06-10T21:07:25+0900;;f3f9e9b02c101973da0ed1a51e5dd60b83e5bc65;2015-08-10T06:21:10+0900;BCEL-273;description/comments
4b46a1595c4c8688644549b3cd762819f4ccfac0;2016-06-10T21:07:25+0900;;8ddaf505ae033aae2ed71e900b53159ce640f37c;2016-06-08T02:13:56+0900;BCEL-273;description/comments
4b46a1595c4c8688644549b3cd762819f4ccfac0;2016-06-10T21:07:25+0900;;00196e4c7d6cafcf7ff94aa6d2e068dde5b6e36f;2015-08-10T07:24:59+0900;BCEL-273;description/comments
4b46a1595c4c8688644549b3cd762819f4ccfac0;2016-06-10T21:07:25+0900;;58e0a1f9ffefd97b803ede8138e7cfad225aeb2c;2016-06-08T02:16:00+0900;BCEL-273;description/comments
cc50f64aa8598728365f282056035cfc094e7bbd;2016-06-01T13:46:44+0900;src/changes/changes.xml;;;BCEL-271;No changed lines, only additions
cc50f64aa8598728365f282056035cfc094e7bbd;2016-06-01T13:46:44+0900;src/main/java/org/apache/commons/bcel6/util/InstructionFinder.java;02f53e4fa6ec7fa339c8c9273183669d7f5928c9;2015-09-11T09:30:19+0900;BCEL-271;
07e0698ed6961ac535a8971e52d61e53f877f58e;2016-02-05T15:09:42+0900;src/main/java/org/apache/commons/bcel6/generic/InstructionList.java;02f53e4fa6ec7fa339c8c9273183669d7f5928c9;2015-09-11T09:30:19+0900;BCEL-269;
0b85abad6a951191875d8cb2af84a7da804c30c9;2015-09-12T20:22:02+0900;src/changes/changes.xml;feba9d2cb9dcb009f64fb8107febf1af8a9b8b40;2015-09-11T21:37:21+0900;BCEL-264;
0b85abad6a951191875d8cb2af84a7da804c30c9;2015-09-12T20:22:02+0900;src/main/java/org/apache/commons/bcel6/classfile/ConstantMethodHandle.java;;;BCEL-264;No changed lines, only additions
0b85abad6a951191875d8cb2af84a7da804c30c9;2015-09-12T20:22:02+0900;src/main/java/org/apache/commons/bcel6/classfile/ConstantMethodType.java;;;BCEL-264;No changed lines, only additions
0b85abad6a951191875d8cb2af84a7da804c30c9;2015-09-12T20:22:02+0900;src/main/java/org/apache/commons/bcel6/classfile/DescendingVisitor.java;;;BCEL-264;No changed lines, only additions
0b85abad6a951191875d8cb2af84a7da804c30c9;2015-09-12T20:22:02+0900;src/main/java/org/apache/commons/bcel6/classfile/EmptyVisitor.java;;;BCEL-264;No changed lines, only additions
